"","LID","PolyLocation"
"452",213,"Squaw Peaks Cove"
"453",251,"Elizabeth J. Cove"
"454",10430,"Oil Pan Cove"
"455",207,"Russian Cove"
"456",145,"Liberty Cove"
"457",825,"Dixie Cove"
"458",147,"Lonesome Wash Cove"
"459",448,"Fortune Cove"
"460",10007,"Liberty Cove Spawning Beach"
"461",574,"Fenlon Bend Cove"
"462",232,"Waterspout Cove"
"463",195,"Pope Mine Cove"
"464",744,"Plateau Cove"
"465",103,"Copper Basin Cove"
"466",116,"Double Neck Cove"
"467",244,"Windy Canyon"
"468",452,"Nevada Sheep Cove"
"469",215,"Techatticup Cove"
"470",10279,"Malpais Wash"
"471",971,"Grotto Wash"
"472",92,"Burro Wash"
"473",183,"Painted 8 Cove"
"474",156,"Monkey Hole"
"475",578,"Catfish Cove"
"476",567,"50 Mile Light"
"477",278,"Big Horn Cove"
"478",239,"Willow Beach NFH"
"479",10010,"Gios Point"
"480",10601,"Emerald Cove"
"481",399,"Quehos Cove"
"482",10598,"Indian Rapids"
"483",1031,"Willow Beach NFH (cove)"
"484",874,"Willow Beach NFH raceways"
"485",245,"Wrong Cove"
"486",10597,"Big Sand Bar Rapids"
"487",1105,"Black Bar"
"488",10004,"Ringbolt"
"489",10600,"The Chute"
"490",654,"Ringbolt Rapids (north of)"
"491",10011,"Mesquite Springs Wash"
"492",10000,"Bighorn Canyon"
"493",653,"Cross Current Rapids"
"494",89,"Boy Scout Cove"
"495",10549,"Boulder Harbor"
"496",10550,"Boulder Beach"
"497",10554,"Hemenway Harbor"
"498",10006,"Sauna Cave"
"499",1091,"Hoover Dam"
"500",10012,"Dam Security Line"
"501",10003,"Lone Palm Hot Spring"
"502",10005,"Rock wall"
"503",10002,"Goldstrike"
"504",175,"Old Ranger Station"
"505",471,"Crane's Nest Wash"
"506",10595,"Pumphouse Cove"
"507",10546,"Black Island"
"508",10560,"Las Vegas Bay East"
"509",10555,"Sentinel Island"
"510",10559,"Boulder Basin North"
"511",10548,"Saddle Island"
"512",10558,"Boulder Basin South"
"513",10551,"Boulder Islands"
"514",10547,"Boxcar Rock"
"515",10557,"Boulder Basin Mid"
"516",10552,"Painters Cove"
"517",10563,"Fishfinder Cove"
"518",10553,"Kingman Wash"
"519",10449,"Las Vegas Wash - Old Las Vegas Bay launch"
"520",10200,"Las Vegas Bay"
"521",10305,"Las Vegas Wash - Inflow"
"522",10592,"Rogers Bay"
"523",10556,"Water Barge Cove"
"524",10561,"Hamblin Bay"
"525",948,"Blacksheep Cove"
"526",10408,"Gov't Wash"
"527",10568,"Bearing Cove"
"528",10711,"Swallow Bay"
"529",10406,"Stewart's Bay"
"530",10230,"Palo Verde Oxbow"
"531",10027,"White Wall"
"532",10026,"Tower"
"533",10025,"Cabana"
"534",10023,"Palms"
"535",10714,"Willow Valley (upstream)"
"536",10028,"Power Lines"
"537",10024,"Cliffs"
"538",10404,"Cliffs (upstream)"
"539",10705,"Fort Mohave Reservation (upstream)"
"540",10193,"Willow Valley Estates"
"541",10192,"Fort Mojave Reservation"
"542",10704,"Razorback Riffle (upstream)"
"543",10399,"Avi Resort"
"544",10191,"Avi (downstream)"
"545",10607,"No Name (river)"
"546",10187,"VFW (river)"
"547",10188,"Fort Mohave Ruins"
"548",10014,"Razorback Riffle"
"549",1097,"Topock Marsh (North Dike boat ramp)"
"550",10379,"BBCA (river)"
"551",10184,"Big Bend (river)"
"552",10190,"Avi (upstream)"
"553",10013,"Razorback Island"
"554",10605,"Rotary Park (Laughlin)"
"555",10168,"Laughlin Lagoon (river)"
"556",10682,"Laughlin Lagoon (outlet)"
"557",612,"Big Bend State Park (launch ramp)"
"558",10604,"Lazy Harry's"
"559",10186,"Pipeline (Laughlin)"
"560",10477,"Laughlin Lagoon"
"561",10713,"Fish Bowl (river)"
"562",10472,"VFW"
"563",10471,"Fish Bowl"
"564",10473,"No Name (lagoon)"
"565",10174,"Harrahs Casino"
"566",10712,"Laughlin Cliffs"
"567",10606,"Glass House"
"568",10196,"Topock Marsh Inlet (North Dike)"
"569",10681,"Laughlin Lagoon (inlet)"
"570",10703,"Laughlin Lagoon (upstream)"
"571",10603,"Casino Row"
"572",10021,"Laughlin Bridge"
"573",10602,"Davis Camp"
"574",939,"Ninety Foot Cove"
"575",142,"Katherine Landing"
"576",115,"Davis Cove"
"577",933,"Ryolite Cove"
"578",711,"Davis Cove backwater"
"579",348,"Turkey Cove"
"580",342,"Bullhead Cove"
"581",10357,"Little Stop Sign Cove"
"582",904,"Paiute Cove"
"583",929,"Miners Cove"
"584",908,"Rock House Cove"
"585",1073,"Sand Cove"
"586",1072,"Ski Cove"
"587",81,"Arrowhead Cove"
"588",323,"Laughlin Lagoon (launch ramp)"
"589",216,"Telephone Cove NV"
"590",796,"Navajo Cove"
"591",360,"Telephone Cove AZ"
"592",136,"Jackrabbit Cove"
"593",636,"Beaver Cove"
"594",539,"Cholla Cove"
"595",163,"Newberry Cove"
"596",903,"Dead Elephant Cove"
"597",543,"Forked Coves"
"598",482,"Tokyo Bay"
"599",101,"Chili Pepper Cove"
"600",483,"Sourdough Cove"
"601",854,"Spirit Cove"
"602",246,"Yoke Cove"
"603",898,"Trout Cove"
"604",91,"Burro Cove"
"605",209,"Shoshone Cove"
"606",200,"Red Light Cove"
"607",617,"Pyrite Cove"
"608",10323,"Princess Cove"
"609",847,"Totem Pole Cove"
"610",198,"Prospect Cove"
"611",401,"Cabinsite Cove"
"612",791,"Pyramid Cove"
"613",811,"Rams Head Cove"
"614",619,"Greenlight Cove"
"615",541,"Mine Shaft Cove"
"616",616,"Tyro Cove"
"617",790,"Roman Cove"
"618",111,"Coyote Cove"
"619",1015,"Eighty Three Dollar Cove"
"620",10325,"Katherine Powerline Cove"
"621",1017,"Quartz Coves"
"622",224,"Turtle Cove"
"623",210,"Sidewinder Cove"
"624",788,"Lone Tree Cove"
"625",389,"Desert Cove"
"626",818,"Mohave Crossing Cove"
"627",819,"Portland Cove"
"628",789,"49er Cove"
"629",787,"Rattlesnake Cove"
"630",786,"Seven-Eleven Cove"
"631",814,"South Sidewinder Cove backwater"
"632",402,"Lode Cove"
"633",404,"Pack Rat Cove"
"634",412,"Jeep Cove"
"635",406,"Indian Cove"
"636",240,"Willow Cove"
"637",699,"White Rock Wash Cove"
"638",610,"Golo Cove"
"639",558,"Camp Thurman Coves"
"640",410,"Granite Cove"
"641",99,"Chemehuevi Cove"
"642",102,"Clam Cove"
"643",1033,"Cactus Cove"
"644",447,"Empire Wash"
"645",257,"Stopsign Cove"
"646",813,"North Chemehuevi backwater"
"647",287,"Finger Cove"
"648",80,"Arizona Juvenile (lake)"
"649",671,"Dead Cove"
"650",555,"Lost Cove"
"651",670,"Three Sisters Cove"
"652",10227,"Glory Hole Area"
"653",10718,"Lake Mohave Basin South"
"654",1053,"Glory Cove"
"655",433,"South Basin Cove"
"656",431,"North Haystack Cove"
"657",942,"Three Mile Cove"
"658",669,"Gremlin Cove"
"659",800,"Cottonwood Cove East"
"660",870,"Arizona Juvenile backwater"
"661",413,"South Haystack Cove"
"662",238,"Willow Beach boat ramp"
"663",137,"Jeff Davis Cove"
"664",10589,"Salt Spring Bay"
"665",96,"Catclaw Cove"
"666",10562,"Indian Canyon Cove"
"667",10576,"Coyote Cove"
"668",10564,"Bonelli Landing"
"669",10580,"James Bay"
"670",10579,"Gordys Cove"
"671",10481,"Bonelli Bay"
"672",10574,"East Gypsum Bay"
"673",10573,"West Gypsum Bay"
"674",10584,"Temple Basin"
"675",10411,"Heron Point"
"676",10591,"Temple Bar"
"677",10590,"Trail Rapids Bay"
"678",10417,"Sandy Point (South Cove area)"
"679",10586,"Temple Bay"
"680",878,"Gregg Basin"
"681",123,"Gasoline Alley Cove"
"682",10587,"Wild Burro Bay"
"683",10596,"South Cove"
"684",1101,"Sandy Point (north of)"
"685",10583,"Lunch Cove"
"686",877,"Gregg Basin (Colorado River inflow)"
"687",10585,"Virgin Canyon"
"688",10588,"Burro Bay"
"689",10570,"Boulder Point"
"690",10482,"Lower Government Wash"
"691",10577,"Wishing Well Cove"
"692",436,"Echo Bay"
"693",10566,"Virgin Basin West"
"694",10571,"Crescent Cove"
"695",10719,"East Point Bay"
"696",10575,"Bighorn Island"
"697",10199,"Echo Bay (Overton Arm Mile 11)"
"698",10569,"Boathouse Cove"
"699",10593,"Calico Bay"
"700",10578,"Flamingo Cove"
"701",10565,"Virgin Basin Mid"
"702",10201,"Echo Bay Entry (Overton Arm Mile 10.25)"
"703",10582,"Iceberg Canyon"
"704",10572,"Ebony Cove"
"705",10443,"Lime Cove"
"706",10581,"Driftwood Cove"
"707",10567,"Virgin Basin East"
"708",10304,"Las Vegas Wash - Gypsum Wash Cove"
"709",10470,"Three Corner Hole"
"710",10409,"Beismeir Beach"
"711",10444,"Kline Hole"
"712",10198,"The Meadows (Overton Arm Mile 18.5)"
"713",10545,"Callville Bay"
"714",10727,"Lone Palm"
"715",10744,"CAP Canal"
"716",10726,"Copper Basin Reservoir"
"717",10725,"CRIT Canals"
"718",10724,"PVID Canals"
"719",10721,"Reach 6 (above Laguna Dam)"
"720",10722,"All American Canal"
"721",10743,"Reach 7 (above Morelos Dam)"
"722",10728,"Emerald Canyon GC Pond 1"
"723",10742,"Emerald Canyon GC Pond 9"
"724",10729,"Deer Island (river)"
"725",10730,"A10 Upper (middle culvert)"
"726",10731,"Heart Mine Marsh"
"727",10732,"Cable Hole"
"728",10733,"Cabin Lake (CA)"
"729",10734,"Martinez Lake Intlet Channel"
"730",10735,"Face Lake Upper (CA)"
"731",10736,"Planet Ranch (Pond 1)"
"732",10737,"Planet Ranch (Pond 2)"
"733",10738,"Planet Ranch (Pond 3)"
"734",10739,"Planet Ranch (Pond 4)"
"735",10410,"Secret Cove"
"736",10740,"Reach 7 (below Morelos Dam)"
"737",10741,"Reach 6 (below Laguna Dam)"
"738",10745,"Grand Wash Bay"
"739",10747,"Western Grand Canyon"
"740",10746,"Pearce Ferry"
"741",411,"Achii Hanyo Hatchery"
"742",1054,"Lake Mead Fish Hatchery"
"743",10748,"Honeybee"
"744",10749,"Center Pond"
"745",10751,"6th Avenue (river)"
"746",10750,"Emerald Canyon GC Pond 11"
"747",10752,"Bill Williams River (intermittent)"
